,age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
67,18,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,4,0
68,37,Private,Bachelors,Married,White-Collar,White,Female,45,1
69,27,Private,School,Married,Blue-Collar,White,Male,32,0
70,21,Private,Some-college,Single,Service,White,Female,16,0
71,26,Private,Some-college,Married,White-Collar,White,Male,40,0
72,45,Private,HS-grad,Single,White-Collar,White,Male,40,0
73,24,Private,School,Divorced,Blue-Collar,White,Female,58,0
74,50,Private,HS-grad,Married,Blue-Collar,White,Male,60,1
75,35,Private,Some-college,Married,Blue-Collar,White,Male,45,0
76,47,Private,Some-college,Separated,White-Collar,White,Female,16,0
77,46,Government,Assoc,Married,White-Collar,White,Male,40,1
78,38,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
79,19,Private,Some-college,Single,White-Collar,White,Male,18,0
80,48,Private,HS-grad,Married,Blue-Collar,White,Male,70,0
81,31,Private,HS-grad,Single,Service,Other,Female,38,0
82,46,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,50,0
83,27,Private,Bachelors,Single,White-Collar,Other,Female,40,0
84,54,Self-Employed,HS-grad,Married,White-Collar,White,Male,36,1
85,76,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,30,0
86,44,Private,Bachelors,Married,Professional,White,Male,45,0
87,51,Private,Bachelors,Married,Sales,White,Male,40,1
88,37,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
89,54,Private,HS-grad,Widowed,Sales,White,Female,37,0
90,42,Private,Bachelors,Married,Professional,White,Male,40,1
91,44,Private,Bachelors,Married,White-Collar,White,Male,56,1
92,39,Private,Bachelors,Married,Blue-Collar,White,Male,40,1
93,39,Self-Employed,Bachelors,Married,Blue-Collar,White,Female,50,0
94,45,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
95,27,Government,Some-college,Single,White-Collar,White,Male,40,0
96,40,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,50,1
97,28,Private,Bachelors,Married,Sales,White,Male,40,0
98,27,Government,Bachelors,Single,Professional,White,Female,60,0
99,35,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
100,55,Private,Masters,Married,White-Collar,White,Male,40,1
101,58,Self-Employed,HS-grad,Married,White-Collar,White,Male,60,1
102,49,Private,Bachelors,Married,Sales,White,Male,45,1
103,29,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,37,0
104,17,Other/Unknown,School,Single,Other/Unknown,White,Female,20,0
105,40,Private,Assoc,Divorced,Professional,White,Female,40,0
106,18,Private,School,Single,White-Collar,White,Female,20,0
107,53,Private,HS-grad,Widowed,Sales,White,Female,35,0
108,42,Private,Bachelors,Married,Professional,White,Male,45,1
109,56,Private,School,Widowed,Blue-Collar,White,Female,40,0
110,61,Private,HS-grad,Married,Service,Other,Male,40,0
111,21,Private,Some-college,Single,White-Collar,White,Male,40,0
112,68,Private,HS-grad,Married,Service,White,Male,24,0
113,54,Private,HS-grad,Married,White-Collar,White,Female,40,0
114,20,Private,HS-grad,Single,Service,White,Male,35,0
115,39,Private,Some-college,Divorced,White-Collar,White,Female,40,0
116,50,Private,Some-college,Divorced,Professional,White,Female,40,0
117,21,Private,Some-college,Single,Sales,Other,Male,30,0
118,31,Private,Bachelors,Single,White-Collar,White,Female,50,1
119,47,Government,Masters,Single,Professional,White,Female,45,1
120,46,Private,Assoc,Married,Service,White,Male,40,0
121,27,Private,Bachelors,Single,Professional,White,Female,40,0
122,19,Private,School,Single,Sales,White,Male,20,0
123,58,Private,Masters,Married,Sales,White,Male,40,0
124,36,Private,Masters,Married,Sales,White,Male,45,1
125,69,Private,Some-college,Married,Sales,White,Male,25,0
126,45,Private,Bachelors,Married,White-Collar,White,Male,40,0
127,29,Private,Some-college,Married,Blue-Collar,White,Male,45,0
128,28,Government,Assoc,Single,Blue-Collar,White,Male,5,0
129,29,Private,Bachelors,Married,Professional,White,Male,75,0
130,45,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
131,70,Self-Employed,Masters,Married,Professional,White,Male,30,1
132,36,Private,Some-college,Single,Blue-Collar,Other,Male,55,0
133,38,Government,Some-college,Married,Service,White,Male,40,1
134,19,Private,Assoc,Single,Service,Other,Male,16,0
135,53,Government,Masters,Married,Professional,White,Male,36,1
136,34,Private,Prof-school,Single,Professional,Other,Female,40,0
137,64,Private,Masters,Married,Professional,Other,Male,60,0
138,43,Private,Bachelors,Married,White-Collar,White,Male,45,1
139,56,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
140,24,Private,Some-college,Single,Service,White,Female,25,0
141,24,Private,Bachelors,Single,White-Collar,White,Female,40,0
142,23,Private,Bachelors,Single,Professional,White,Male,40,0
143,47,Private,Some-college,Widowed,White-Collar,White,Female,40,0
144,62,Private,Some-college,Widowed,Service,White,Female,20,0
145,41,Private,Some-college,Divorced,White-Collar,White,Female,80,0
146,34,Government,Some-college,Divorced,White-Collar,White,Female,38,0
147,24,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
148,18,Private,School,Single,Blue-Collar,White,Male,40,0
149,37,Private,School,Single,Blue-Collar,White,Male,35,0
150,65,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,40,0
151,52,Private,Some-college,Married,Blue-Collar,White,Male,40,1
152,48,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,40,1
153,34,Private,HS-grad,Married,Professional,White,Male,60,1
154,48,Private,Masters,Married,White-Collar,White,Male,40,1
155,38,Government,Bachelors,Married,White-Collar,White,Male,42,1
156,39,Private,Bachelors,Single,White-Collar,White,Female,40,0
157,34,Private,HS-grad,Married,Blue-Collar,White,Female,40,0
158,41,Private,School,Single,Sales,White,Female,40,0
159,41,Government,Masters,Divorced,Professional,White,Female,40,0
160,40,Private,Some-college,Divorced,White-Collar,White,Female,40,0
161,23,Private,Some-college,Single,Blue-Collar,White,Male,40,0
162,23,Private,School,Single,Blue-Collar,White,Male,36,0
163,44,Other/Unknown,School,Married,Other/Unknown,White,Male,40,0
164,59,Private,HS-grad,Widowed,Service,White,Female,35,0
165,24,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
166,62,Private,School,Divorced,Blue-Collar,White,Male,40,0
167,19,Private,Some-college,Single,Service,White,Male,30,0
168,22,Private,Some-college,Single,Blue-Collar,White,Male,20,0
169,36,Private,Bachelors,Single,Professional,White,Male,40,0
170,27,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
171,50,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
172,39,Private,Masters,Married,White-Collar,White,Male,40,1
173,30,Private,Some-college,Married,Blue-Collar,White,Male,40,0
174,40,Private,HS-grad,Married,White-Collar,White,Female,30,1
175,30,Private,HS-grad,Divorced,Blue-Collar,White,Female,20,0
176,24,Private,Some-college,Single,Service,White,Female,30,0
177,62,Private,Some-college,Married,White-Collar,White,Female,40,0
178,53,Private,Some-college,Single,White-Collar,Other,Female,40,0
179,51,Private,Some-college,Divorced,Blue-Collar,White,Female,40,0
180,47,Private,HS-grad,Married,White-Collar,White,Male,40,0
181,19,Private,HS-grad,Single,Blue-Collar,White,Male,50,0
182,65,Private,HS-grad,Married,Blue-Collar,White,Male,16,0
183,27,Private,Some-college,Divorced,White-Collar,White,Female,44,0
184,48,Private,Bachelors,Married,Professional,White,Male,45,1
185,26,Private,Bachelors,Single,Service,Other,Female,35,0
186,69,Government,HS-grad,Widowed,White-Collar,Other,Female,20,0
187,20,Private,Some-college,Single,Sales,White,Male,30,0
188,47,Private,Masters,Divorced,Professional,White,Female,50,1
189,65,Private,School,Married,Blue-Collar,White,Male,40,0
190,56,Private,School,Single,White-Collar,White,Male,40,0
191,46,Private,Bachelors,Separated,White-Collar,White,Female,40,0
192,44,Private,Bachelors,Married,White-Collar,White,Male,40,1
193,51,Government,Masters,Single,Professional,White,Male,40,0
194,60,Other/Unknown,Some-college,Divorced,Other/Unknown,White,Female,40,1
195,24,Private,Bachelors,Single,White-Collar,White,Male,40,0
196,21,Private,HS-grad,Single,Blue-Collar,White,Female,40,0
197,26,Self-Employed,Prof-school,Single,Professional,White,Male,20,0
198,43,Private,Some-college,Married,Blue-Collar,Other,Male,40,0
199,20,Private,Some-college,Single,White-Collar,White,Female,45,0
200,39,Private,School,Divorced,Blue-Collar,White,Male,40,0
201,20,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
202,44,Self-Employed,HS-grad,Married,White-Collar,White,Male,45,1
203,38,Other/Unknown,Prof-school,Divorced,Other/Unknown,White,Female,30,0
204,31,Private,Masters,Married,Professional,White,Male,50,0
205,54,Private,School,Separated,Blue-Collar,White,Male,40,0
206,35,Government,Some-college,Divorced,White-Collar,White,Female,50,0
207,18,Private,School,Single,Service,White,Male,15,0
208,37,Government,Some-college,Divorced,Service,Other,Female,20,0
209,37,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
210,31,Self-Employed,Bachelors,Married,White-Collar,White,Female,40,1
211,65,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0
212,81,Self-Employed,HS-grad,Widowed,White-Collar,White,Female,20,0
213,22,Government,HS-grad,Single,Blue-Collar,White,Male,50,0
214,19,Government,HS-grad,Single,White-Collar,White,Female,20,0
215,38,Self-Employed,HS-grad,Single,Blue-Collar,White,Male,50,0
216,29,Private,Masters,Single,White-Collar,Other,Male,60,0
217,32,Private,Bachelors,Single,White-Collar,White,Female,40,0
218,22,Private,HS-grad,Single,Blue-Collar,White,Male,35,0
219,30,Private,School,Married,Blue-Collar,White,Male,48,0
220,22,Private,Some-college,Single,Blue-Collar,White,Male,40,0
221,75,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,40,0
222,33,Private,Bachelors,Married,White-Collar,White,Female,40,1
223,19,Private,HS-grad,Single,Sales,White,Female,20,0
224,31,Private,Some-college,Single,White-Collar,Other,Female,40,0
225,30,Private,Some-college,Divorced,Blue-Collar,White,Male,50,0
226,47,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
227,33,Private,HS-grad,Divorced,Blue-Collar,White,Male,45,0
228,28,Private,Some-college,Married,White-Collar,White,Female,40,0
229,35,Government,Some-college,Divorced,Service,White,Female,40,0
230,60,Government,Bachelors,Widowed,Professional,White,Female,60,1
231,41,Private,HS-grad,Divorced,Blue-Collar,White,Female,50,0
232,28,Government,Bachelors,Single,White-Collar,Other,Male,40,0
233,42,Private,Bachelors,Married,White-Collar,White,Male,50,1
234,34,Government,School,Single,White-Collar,Other,Female,25,0
235,28,Private,HS-grad,Single,White-Collar,White,Female,38,0
236,52,Government,Bachelors,Widowed,White-Collar,White,Female,55,0
237,27,Private,School,Single,Blue-Collar,White,Male,45,0
238,57,Private,School,Single,Service,White,Male,40,0
239,37,Private,Some-college,Married,White-Collar,White,Male,37,0
240,44,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,60,0
241,25,Private,HS-grad,Single,White-Collar,White,Female,40,0
242,30,Private,Some-college,Married,Sales,White,Female,40,0
243,40,Private,Assoc,Divorced,Blue-Collar,White,Male,50,1
244,29,Private,Some-college,Married,Professional,White,Male,45,0
245,57,Government,Prof-school,Divorced,Professional,White,Female,50,1
246,48,Private,HS-grad,Married,Blue-Collar,White,Male,70,1
247,35,Private,School,Single,White-Collar,White,Female,40,0
248,26,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
249,48,Government,Masters,Divorced,Professional,White,Male,40,1
250,78,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,20,0
251,43,Private,HS-grad,Married,Blue-Collar,White,Male,45,0
252,26,Private,Bachelors,Single,White-Collar,White,Male,40,0
253,21,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
254,30,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
255,27,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,50,0
256,20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,56,0
257,19,Private,Some-college,Single,Sales,White,Female,20,0
258,54,Private,HS-grad,Married,White-Collar,White,Male,45,0
259,52,Government,Bachelors,Married,Service,White,Male,40,1
260,23,Private,HS-grad,Single,White-Collar,White,Male,25,0
261,26,Private,School,Single,Blue-Collar,White,Male,48,0
262,42,Private,HS-grad,Separated,White-Collar,White,Female,40,0
263,46,Private,HS-grad,Single,Blue-Collar,Other,Male,40,0
264,52,Government,Assoc,Married,Service,White,Male,40,1
265,42,Private,Some-college,Divorced,Service,White,Female,32,0
266,25,Private,Masters,Single,Sales,White,Male,55,0
267,33,Other/Unknown,Some-college,Married,Other/Unknown,White,Female,40,1
268,50,Government,Some-college,Married,Service,White,Male,48,0
269,25,Private,Some-college,Single,Blue-Collar,White,Female,50,0
270,42,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
271,36,Private,Bachelors,Married,Professional,White,Male,50,1
272,38,Private,Prof-school,Single,White-Collar,White,Male,40,1
273,53,Private,HS-grad,Separated,Blue-Collar,White,Male,30,0
274,30,Government,HS-grad,Single,Service,White,Male,40,0
275,30,Government,Bachelors,Single,Professional,White,Male,40,1
276,25,Private,HS-grad,Married,Sales,White,Male,26,1
277,67,Private,Some-college,Married,White-Collar,White,Male,40,0
278,47,Self-Employed,Bachelors,Married,Professional,White,Male,30,0
279,46,Self-Employed,HS-grad,Married,White-Collar,White,Male,40,0
280,27,Government,Bachelors,Single,Professional,White,Female,40,0
281,56,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,90,0
282,43,Private,Bachelors,Single,Sales,White,Male,50,1
283,49,Private,HS-grad,Married,Service,Other,Female,8,0
284,53,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
285,29,Private,Some-college,Single,Blue-Collar,White,Male,40,0
286,40,Private,Assoc,Single,White-Collar,White,Female,40,0
287,41,Private,Bachelors,Widowed,Sales,Other,Male,50,0
288,30,Self-Employed,Some-college,Married,White-Collar,White,Female,55,1
289,40,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
290,28,Government,Bachelors,Single,Professional,White,Male,16,0
291,26,Private,Assoc,Single,Professional,White,Female,40,0
292,50,Private,Assoc,Divorced,Sales,White,Female,40,0
293,52,Private,Bachelors,Single,Professional,White,Male,38,0
294,63,Private,Bachelors,Married,Professional,White,Male,45,1
295,27,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,70,0
296,58,Private,School,Single,Blue-Collar,White,Male,40,0
297,57,Self-Employed,HS-grad,Married,White-Collar,White,Male,60,1
298,25,Private,Bachelors,Single,Professional,White,Female,40,0
299,36,Private,HS-grad,Married,Blue-Collar,White,Male,52,0
300,59,Self-Employed,HS-grad,Divorced,Professional,White,Male,20,0
301,28,Private,Assoc,Married,Blue-Collar,Other,Male,40,0
302,36,Private,HS-grad,Divorced,Blue-Collar,White,Female,40,0
303,59,Self-Employed,Prof-school,Married,Professional,White,Male,55,1
304,25,Private,Some-college,Married,Service,White,Male,40,0
305,34,Private,Some-college,Single,White-Collar,Other,Female,35,0
306,64,Government,HS-grad,Widowed,White-Collar,White,Female,38,0
307,21,Private,Some-college,Single,Sales,White,Female,60,0
308,36,Private,School,Married,Blue-Collar,White,Male,35,0
309,34,Private,Some-college,Single,White-Collar,White,Female,40,0
310,58,Private,HS-grad,Married,Blue-Collar,White,Male,25,0
311,19,Private,HS-grad,Single,Service,White,Male,20,0
312,49,Private,School,Married,Blue-Collar,White,Male,40,0
313,44,Private,School,Married,Professional,White,Female,36,1
314,36,Private,Bachelors,Single,White-Collar,White,Female,32,0
315,42,Government,School,Divorced,Sales,White,Male,50,1
316,45,Private,Some-college,Married,Sales,White,Male,40,1
317,35,Private,School,Married,Service,Other,Male,60,0
318,48,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,80,1
319,28,Private,School,Single,Blue-Collar,White,Male,77,0
320,25,Private,School,Single,Service,Other,Female,32,0
321,36,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,4,0
322,35,Private,Assoc,Married,Service,White,Male,40,0
323,38,Private,Some-college,Divorced,Sales,White,Female,38,0
324,23,Private,Some-college,Single,Blue-Collar,Other,Male,30,0
325,20,Private,HS-grad,Single,Sales,White,Female,35,0
326,21,Government,HS-grad,Single,White-Collar,White,Male,36,0
327,44,Other/Unknown,Some-college,Divorced,Other/Unknown,White,Female,10,0
328,61,Private,School,Married,Blue-Collar,White,Male,40,1
329,24,Private,Some-college,Single,Sales,White,Female,15,0
330,26,Private,Bachelors,Single,White-Collar,White,Male,35,0
331,28,Private,HS-grad,Separated,Blue-Collar,White,Male,55,0
332,50,Self-Employed,HS-grad,Married,White-Collar,White,Male,32,0
333,41,Private,Assoc,Married,Sales,White,Male,40,1
334,30,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,85,0
335,23,Private,HS-grad,Married,Blue-Collar,White,Male,50,0
336,49,Self-Employed,School,Divorced,Blue-Collar,White,Male,70,0
337,27,Private,Masters,Single,Blue-Collar,White,Female,40,0
338,43,Private,Some-college,Married,Service,Other,Female,40,0
339,48,Self-Employed,Masters,Widowed,White-Collar,White,Female,40,1
340,68,Government,HS-grad,Divorced,Professional,White,Female,40,0
341,49,Private,Bachelors,Married,Sales,White,Male,45,1
342,35,Private,Bachelors,Married,Professional,White,Male,16,1
343,58,Private,HS-grad,Married,Blue-Collar,White,Male,52,0
344,40,Self-Employed,Some-college,Married,Professional,White,Male,60,0
345,26,Private,Assoc,Married,White-Collar,White,Female,40,0
346,41,Government,Bachelors,Divorced,Professional,White,Female,35,0
347,41,Private,Some-college,Married,Blue-Collar,White,Male,42,1
348,44,Private,HS-grad,Married,Blue-Collar,White,Male,45,0
349,32,Private,School,Married,Service,White,Male,40,0
350,25,Private,Bachelors,Single,White-Collar,White,Male,40,0
351,17,Other/Unknown,School,Single,Other/Unknown,White,Female,30,0
352,55,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,40,0
353,26,Private,HS-grad,Married,Blue-Collar,White,Male,48,0
354,21,Self-Employed,Some-college,Single,White-Collar,White,Male,40,0
355,21,Private,Some-college,Single,Service,White,Female,37,0
356,68,Other/Unknown,School,Married,Other/Unknown,Other,Male,40,0
357,51,Private,Some-college,Widowed,Blue-Collar,White,Female,36,0
358,38,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
359,32,Private,HS-grad,Married,Blue-Collar,Other,Male,40,0
360,33,Private,School,Married,Blue-Collar,White,Male,45,0
361,24,Private,Some-college,Single,Sales,White,Female,40,0
362,51,Private,HS-grad,Married,Professional,White,Male,40,0
363,33,Private,Masters,Single,White-Collar,White,Female,40,0
364,35,Private,Bachelors,Married,White-Collar,White,Male,60,0
365,20,Other/Unknown,Some-college,Single,Other/Unknown,Other,Male,72,0
366,24,Private,HS-grad,Single,Sales,White,Female,55,0
367,23,Private,HS-grad,Single,White-Collar,White,Female,16,0
368,20,Private,School,Single,Blue-Collar,White,Male,40,0
369,55,Private,Some-college,Single,White-Collar,White,Female,36,0
370,31,Private,HS-grad,Separated,Service,Other,Female,40,0
371,22,Private,HS-grad,Married,Blue-Collar,White,Male,35,0
372,45,Private,Some-college,Divorced,Professional,White,Female,20,0
373,25,Private,Bachelors,Single,Service,White,Male,60,1
374,38,Private,Bachelors,Married,Professional,White,Male,40,0
375,32,Private,Some-college,Married,Service,White,Female,36,0
376,36,Private,Bachelors,Married,White-Collar,White,Male,40,1
377,41,Private,Some-college,Married,Blue-Collar,White,Male,40,0
378,47,Government,Some-college,Married,White-Collar,White,Male,40,0
379,18,Private,School,Single,Service,White,Female,20,0
380,24,Private,Bachelors,Single,White-Collar,White,Male,45,0
381,39,Private,Masters,Single,White-Collar,Other,Male,52,1
382,19,Other/Unknown,HS-grad,Single,Other/Unknown,White,Male,40,0
383,19,Private,HS-grad,Single,White-Collar,White,Female,20,0
384,29,Self-Employed,HS-grad,Married,Sales,Other,Male,40,0
385,33,Government,Bachelors,Single,White-Collar,White,Male,38,0
386,51,Private,Bachelors,Divorced,Sales,White,Female,60,0
387,34,Self-Employed,HS-grad,Single,Blue-Collar,White,Male,45,1
388,58,Government,Bachelors,Single,Professional,White,Female,37,0
389,57,Self-Employed,Prof-school,Married,Professional,White,Male,40,0
390,24,Private,Bachelors,Single,White-Collar,White,Female,40,0
391,57,Private,Assoc,Married,Professional,White,Male,40,0
392,24,Government,HS-grad,Married,Blue-Collar,White,Male,49,1
393,54,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
394,62,Private,Bachelors,Married,White-Collar,White,Male,40,1
395,49,Private,Assoc,Married,Sales,White,Male,60,1
396,53,Self-Employed,Some-college,Married,Blue-Collar,White,Male,30,0
397,81,Private,Some-college,Married,Sales,White,Male,15,0
398,34,Self-Employed,HS-grad,Separated,White-Collar,White,Male,50,0
399,58,Self-Employed,HS-grad,Divorced,White-Collar,White,Male,70,0
400,44,Private,Prof-school,Married,White-Collar,White,Male,55,1
401,27,Private,HS-grad,Single,Sales,Other,Female,32,0
402,41,Self-Employed,Masters,Divorced,Blue-Collar,White,Male,40,0
403,52,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Male,45,1
404,35,Self-Employed,HS-grad,Separated,Blue-Collar,White,Male,70,0
405,35,Private,Prof-school,Married,Professional,White,Male,45,1
406,58,Private,Bachelors,Single,Professional,White,Female,60,0
407,28,Private,HS-grad,Single,Blue-Collar,White,Female,40,0
408,29,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
409,33,Private,Bachelors,Single,Blue-Collar,White,Male,30,0
410,28,Self-Employed,School,Divorced,Service,White,Female,30,0
411,26,Private,HS-grad,Single,Blue-Collar,White,Male,48,0
412,29,Private,HS-grad,Separated,Service,Other,Female,30,0
413,45,Private,School,Married,Service,White,Female,25,0
414,70,Self-Employed,Some-college,Married,Blue-Collar,White,Male,70,0
415,24,Private,School,Single,Blue-Collar,Other,Male,66,0
416,33,Private,HS-grad,Married,White-Collar,White,Male,60,0
417,83,Other/Unknown,HS-grad,Widowed,Other/Unknown,White,Female,20,0
418,35,Private,HS-grad,Married,White-Collar,White,Female,40,1
419,23,Private,Assoc,Married,Blue-Collar,White,Female,30,0
420,34,Government,Bachelors,Single,Professional,White,Male,50,0
421,23,Private,HS-grad,Single,Service,Other,Male,30,0
422,34,Government,HS-grad,Married,Service,White,Male,40,0
423,34,Private,Assoc,Divorced,Blue-Collar,White,Male,40,0
424,37,Private,HS-grad,Married,Service,White,Male,40,1
425,19,Private,Some-college,Single,White-Collar,White,Male,40,0
426,38,Self-Employed,Some-college,Married,Sales,White,Male,50,1
427,40,Private,HS-grad,Divorced,Blue-Collar,Other,Male,40,0
428,20,Private,HS-grad,Single,Blue-Collar,White,Male,47,0
429,34,Government,Some-college,Married,Blue-Collar,White,Male,40,0
430,38,Government,Some-college,Divorced,White-Collar,Other,Female,45,0
431,30,Self-Employed,Bachelors,Married,Sales,White,Male,50,1
432,60,Private,School,Married,Blue-Collar,White,Male,40,0
433,34,Private,HS-grad,Divorced,Blue-Collar,White,Male,30,0
434,35,Private,Some-college,Single,Blue-Collar,White,Male,40,0
435,24,Private,HS-grad,Separated,Service,White,Female,55,0
436,74,Private,HS-grad,Married,Service,White,Male,30,0
437,45,Private,HS-grad,Married,Professional,Other,Male,8,0
438,22,Private,HS-grad,Single,White-Collar,White,Female,40,0
439,19,Other/Unknown,HS-grad,Single,Other/Unknown,White,Male,30,0
440,38,Private,HS-grad,Married,Service,White,Male,40,0
441,36,Private,Assoc,Married,White-Collar,White,Male,44,1
442,29,Private,HS-grad,Divorced,Blue-Collar,White,Male,56,0
443,21,Government,Some-college,Single,White-Collar,White,Female,40,0
444,26,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
445,43,Private,School,Married,Blue-Collar,White,Male,40,0
